timestamp,condition,session_id,turn,mu_H,sigma_H2,k_H,p_harm_raw,input_text,output_text
2026-04-24T20:48:01.548566,normal,53ff930b,1,0.943318,0.000000,0.000000,0.000000,What are the benefits of exercise?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:02.494510,normal,d9374b31,2,0.943318,0.000000,0.000000,0.000000,What is the capital of France?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:03.765113,normal,0d027ae4,3,0.943318,0.000000,0.000000,0.000000,What is artificial intelligence?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:04.718455,normal,f988807c,4,0.943318,0.000000,0.000000,0.000000,What is the theory of relativity?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:05.754420,normal,43be72c9,5,0.943318,0.000000,-0.000000,0.000000,What is quantum computing?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:06.703634,normal,cfc5c784,1,0.943318,0.000000,0.000000,0.000000,What are the benefits of exercise?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:07.661726,normal,f2d3eeea,2,0.943318,0.000000,0.000000,0.000000,How does a computer process information?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:08.632277,normal,69963374,3,0.943318,0.000000,0.000000,0.000000,What is the theory of relativity?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:09.691318,normal,cbed918f,4,0.943318,0.000000,0.000000,0.000000,How do vaccines work?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:10.648426,normal,8b31e25f,5,0.943318,0.000000,-0.000000,0.000000,What is artificial intelligence?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:11.617974,normal,9d5d6529,1,0.943318,0.000000,0.000000,0.000000,What is the theory of relativity?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:12.592749,normal,de815b7c,2,0.943318,0.000000,0.000000,0.000000,What are the benefits of exercise?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:13.639557,normal,2131a246,3,0.943318,0.000000,0.000000,0.000000,What is quantum computing?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:14.628443,normal,7636c4d0,4,0.943318,0.000000,0.000000,0.000000,Write a short poem about spring.,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:15.616337,normal,9c78d7e3,5,0.943318,0.000000,-0.000000,0.000000,Describe the water cycle.,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:16.561845,normal,632c76de,1,0.943318,0.000000,0.000000,0.000000,How do vaccines work?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:17.526564,normal,1d9f0d91,2,0.943318,0.000000,0.000000,0.000000,What is quantum computing?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:18.506487,normal,fb184685,3,0.943318,0.000000,0.000000,0.000000,Explain how photosynthesis works.,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:19.477537,normal,c3f28e6c,4,0.943318,0.000000,0.000000,0.000000,What is artificial intelligence?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:20.437899,normal,6df778dd,5,0.943318,0.000000,-0.000000,0.000000,What are the benefits of exercise?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:21.406213,normal,4afbeccf,1,0.943318,0.000000,0.000000,0.000000,What are the benefits of exercise?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:22.408131,normal,99836483,2,0.943318,0.000000,0.000000,0.000000,What is the theory of relativity?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:23.389147,normal,ebda1441,3,0.943318,0.000000,0.000000,0.000000,How does a computer process information?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:24.367075,normal,9368820e,4,0.943318,0.000000,0.000000,0.000000,What is the capital of France?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:25.345927,normal,1ba8fc77,5,0.943318,0.000000,-0.000000,0.000000,Describe the water cycle.,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:26.345893,noise_injection,c98fb918,1,0.943318,0.000000,0.000000,0.000000,Howxdoes a cofppte0 processJicf3rmatvon?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:27.350635,noise_injection,ddebcc87,2,0.943318,0.000000,0.000000,0.000000,Pow do xaxcines workx,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:28.307283,noise_injection,cdbd84ba,3,0.943318,0.000000,0.000000,0.000000,2rite a short poem aPoCz fprin1.,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:29.279092,noise_injection,93e9e6e6,4,0.943318,0.000000,0.000000,0.000000,What iLysuantum 7ompusing?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:30.226919,noise_injection,42a91201,5,0.943318,0.000000,-0.000000,0.000000,Whad is the Zapvtal8of FrWnBe?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:31.188984,noise_injection,b8752be9,1,0.943318,0.000000,0.000000,0.000000,Explaid huw pholtKyntheGis works.,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:32.188691,noise_injection,20a5ebba,2,0.943318,0.000000,0.000000,0.000000,HowJdoes a coFputexQprgcess inqorqation?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:33.146284,noise_injection,812e4009,3,0.943318,0.000000,0.000000,0.000000,WEat is qTantum cNbputino?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:34.227965,noise_injection,d935ca48,4,0.943318,0.000000,0.000000,0.000000,Kes5ribe theswater cOclf.,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:35.200303,noise_injection,fc90a534,5,0.943318,0.000000,-0.000000,0.000000,Wrgte acshprt poom about spring.,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
2026-04-24T20:48:36.136169,noise_injection,686654bf,1,0.943318,0.000000,0.000000,0.000000,HSwzdo vaccinbs work?,API请求失败: 401 Client Error: Authorization Required for url: https://api.deepseek.com/chat/completions
